Main food description,Protein,Carbohydrate,Fiber,Vitamin A,Thiamin,Riboflavin,Niacin,Vitamin B-6,Folate,Vitamin B-12,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Phosphorus,Magnesium,Iron,Zinc,Copper,Selenium,Potassium,Sodium,Theobromine
Milk human,1.03,6.89,0,0.062541667,0.014,0.036,0.177,0.011,0.005,0.00005,5,0.0001,0.08,0.0003,32,14,3,0.03,0.17,0.052,0.0000018,51,17,0
Milk NFS,3.34,4.87,0,0.060458333,0.057,0.137,0.11,0.06,0.001,0.00056,0.1,0.0011,0.03,0.0002,126,103,12,0,0.42,0.001,0.0000019,157,39,0
Milk whole,3.28,4.67,0,0.032333333,0.056,0.138,0.105,0.061,0,0.00054,0,0.0011,0.05,0.0003,123,101,12,0,0.41,0.001,0.0000019,150,38,0
Milk low sodium whole,3.1,4.46,0,0.029208333,0.02,0.105,0.043,0.034,0.005,0.00036,0.9,0.0013,0.08,0.0003,101,86,5,0.05,0.38,0.01,0.000002,253,3,0
Milk calcium fortified whole,3.28,4.67,0,0.032333333,0.056,0.138,0.105,0.061,0,0.00054,0,0.0011,0.05,0.0003,123,101,12,0,0.41,0.001,0.0000019,150,38,0
Milk calcium fortified low fat (1%),3.38,5.19,0,0.060416667,0.057,0.14,0.113,0.06,0.002,0.00061,0,0.0011,0.02,0.0001,126,103,12,0,0.43,0.001,0.0000021,159,39,0
Milk calcium fortified fat free (skim),3.4,4.85,0,0.142708333,0.036,0.14,0.088,0.04,0.005,0.00038,1,0.0012,0.01,0,204,101,11,0.04,0.4,0.011,0.0000021,166,52,0
Milk reduced fat (2%),3.35,4.91,0,0.086458333,0.059,0.137,0.112,0.061,0.002,0.00055,0.2,0.0011,0.03,0.0002,126,103,12,0,0.43,0.001,0.0000018,159,39,0
Milk acidophilus low fat (1%),3.38,5.19,0,0.060416667,0.057,0.14,0.113,0.06,0.002,0.00061,0,0.0011,0.02,0.0001,126,103,12,0,0.43,0.001,0.0000021,159,39,0
Milk acidophilus reduced fat (2%),3.35,4.91,0,0.086458333,0.059,0.137,0.112,0.061,0.002,0.00055,0.2,0.0011,0.03,0.0002,126,103,12,0,0.43,0.001,0.0000018,159,39,0
Milk low fat (1%),3.38,5.19,0,0.060416667,0.057,0.14,0.113,0.06,0.002,0.00061,0,0.0011,0.02,0.0001,126,103,12,0,0.43,0.001,0.0000021,159,39,0
Milk fat free (skim),3.43,4.89,0,0.066666667,0.056,0.131,0.118,0.058,0.002,0.00058,0,0.0011,0,0,132,107,12,0,0.45,0.002,0.000002,167,41,0
Milk lactose free low fat (1%),3.38,5.19,0,0.060416667,0.057,0.14,0.113,0.06,0.002,0.00061,0,0.0011,0.02,0.0001,126,103,12,0,0.43,0.001,0.0000021,159,39,0
Milk lactose free fat free (skim),3.43,4.89,0,0.066666667,0.056,0.131,0.118,0.058,0.002,0.00058,0,0.0011,0,0,132,107,12,0,0.45,0.002,0.000002,167,41,0
Milk lactose free reduced fat (2%),3.35,4.91,0,0.086458333,0.059,0.137,0.112,0.061,0.002,0.00055,0.2,0.0011,0.03,0.0002,126,103,12,0,0.43,0.001,0.0000018,159,39,0
Milk lactose free whole,3.28,4.67,0,0.032333333,0.056,0.138,0.105,0.061,0,0.00054,0,0.0011,0.05,0.0003,123,101,12,0,0.41,0.001,0.0000019,150,38,0
Buttermilk fat free (skim),3.31,4.79,0,0.013583333,0.034,0.154,0.058,0.034,0.005,0.00022,1,0,0.05,0.0001,116,89,11,0.05,0.42,0.011,0.000002,151,148,0
Buttermilk low fat (1%),3.31,4.79,0,0.013583333,0.034,0.154,0.058,0.034,0.005,0.00022,1,0,0.05,0.0001,116,89,11,0.05,0.42,0.011,0.000002,151,148,0
Buttermilk reduced fat (2%),4.1,5.3,0,0.016666667,0.05,0.21,0.1,0.03,0.006,0.00037,1.5,0,0.11,0.0001,143,82,13,0.06,0.24,0.008,0.0000023,180,105,0
Buttermilk whole,3.21,4.88,0,0.047958333,0.047,0.172,0.09,0.036,0.005,0.00046,0,0.0013,0.07,0.0003,115,85,10,0.03,0.38,0.025,0.0000037,135,105,0
Kefir NS as to fat content,3.59,7.48,0,0.18125,0.03,0.172,0.128,0.059,0.018,0.0003,0.8,0.001,0.04,0.0006,124,100,12,0.04,0.45,0.009,0.0000036,159,38,0
Goat's milk whole,3.56,4.45,0,0.058375,0.048,0.138,0.277,0.046,0.001,0.00007,1.3,0.0013,0.07,0.0003,134,111,14,0.05,0.3,0.046,0.0000014,204,50,0
Milk dry reconstituted NS as to fat content,3.2,4.6,0,0.060416667,0.037,0.137,0.084,0.032,0.004,0.00036,0.6,0.001,0,0,114,86,11,0.03,0.37,0.013,0.0000024,159,51,0
Milk dry reconstituted whole,4.01,5.86,0,0.040625,0.043,0.184,0.099,0.046,0.006,0.0005,1.3,0.0016,0.09,0.0003,142,118,14,0.07,0.52,0.021,0.0000025,203,60,0
Milk dry reconstituted low fat (1%),3.17,4.55,0,0.067708333,0.036,0.136,0.083,0.032,0.004,0.00035,0.6,0.001,0.03,0.0001,113,85,11,0.03,0.37,0.013,0.0000024,157,51,0
